Emergency,SuperSafe,32GBs_6p1E27,32GBs_4p5E27,32GBs_3p5E27,32GBs_2p5E27,32GBs_1p5E27,30GBs_6p1E27,30GBs_4p5E27,30GBs_3p5E27,30GBs_2p5E27,30GBs_1p5E27,24GBs_6p1E27,24GBs_4p5E27,24GBs_3p5E27,24GBs_2p5E27,24GBs_1p5E27,20GBs_6p1E27,20GBs_4p5E27,20GBs_3p5E27,20GBs_2p5E27,20GBs_1p5E27,15GBs_6p1E27,15GBs_4p5E27,15GBs_3p5E27,15GBs_2p5E27,15GBs_1p5E27,13GBs_6p1E27,13GBs_3p5E27,13GBs_1p5E27,Unprescaled
0,7,1,1,1,1,1,1,1,1,1,1,1.6,1,1,1,1,2.5,1.6,1,1,1,3.8,2.5,1.6,1,1,5,2,1,1
0,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1
0,7,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,7,2,2,1,1,1,7,1,1
0,0,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,3,1.5,1,1,1,17,3,1.5,1,1,1,17,1,1
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,11,1,1
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1
0,23,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,11,11,1,1,1,17,11,11,1,1,1,17,1,1
0,17,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,7,7,1,1,1,11,7,7,1,1,1,11,1,1
0,11,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,5,5,1,1,1,9,5,5,1,1,1,9,1,1
0,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3.5,2,1,1,1,1,3.5,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,3,1.5,1,1,1,1,3,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,3,1.5,1,1,1,1,3,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,79,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,11,5,1,1,1,23,11,5,1,1,1,23,1,1
0,79,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,7,3,1,1,1,19,7,3,1,1,1,19,1,1
0,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1
0,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,1,1,1,1,1,17,1,1
0,53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,11,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,29,1,1,1,1,1,1,1,1,1,1,9.83,1,1,1,1,13,1,1,1,1,19,13,9.83,1,1,1,19,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,29,1,1,1,1,1,1,1,1,1,1,9.77,1,1,1,1,11,1,1,1,1,11,11,9.77,1,1,1,11,1,1
0,17,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5,1,1,1,1,1,5,2,1,1,1,1,1,1
0,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1
0,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1
0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,1,1,1,1,5,2.5,1,1,1,1,5,1,1
0,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,79,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,17,9,5,1,1,1,17,1,1
0,79,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,5,1,1,1,1,9,5,3,1,1,1,9,1,1
