Index,Name,Unprescaled
1,L1_ZeroBias,7
470,L1_SingleJet20_BptxAND,2
512,L1_SingleJet28_BptxAND,1
53,L1_SingleJet35_BptxAND,1
55,L1_SingleJet44_BptxAND,1
399,L1_SingleJet28_FWD2p5_BptxAND,1
74,L1_SingleJet35_FWD2p5_BptxAND,1
400,L1_SingleJet44_FWD2p5_BptxAND,1
207,L1_SingleMuOpen_SingleJet28er2p7_BptxAND,1
208,L1_SingleMuOpen_SingleJet44er2p7_BptxAND,1
210,L1_SingleMuOpen_SingleJet64er2p7_BptxAND,1
212,L1_SingleMu3_SingleJet32er2p7_BptxAND,1
213,L1_SingleMu3_SingleJet40er2p7_BptxAND,1
118,L1_SingleEG10_BptxAND,1
119,L1_SingleEG15_BptxAND,1
120,L1_SingleEG18_BptxAND,1
121,L1_SingleEG21_BptxAND,1
145,L1_DoubleEG_10_5_BptxAND,1
148,L1_DoubleEG_15_10_BptxAND,1
215,L1_SingleMu3_SingleEG12_BptxAND,1
220,L1_SingleMu5_SingleEG15_BptxAND,1
368,L1_SingleMuOpen_BptxAND,1
369,L1_SingleMu0_BptxAND,1
176,L1_SingleMu3_BptxAND,1
177,L1_SingleMu5_BptxAND,1
178,L1_SingleMu7_BptxAND,1
180,L1_SingleMu12_BptxAND,1
189,L1_DoubleOpen_BptxAND,1
190,L1_DoubleMu0_BptxAND,1
373,L1_SingleMuOpen_NotMinimumBiasHF2_AND_BptxAND,1
383,L1_DoubleEG3_NotMinimumBiasHF2_AND_BptxAND,1
386,L1_SingleEG5_NotMinimumBiasHF2_AND_BptxAND,1
